month,cafes_restaurants_and_catering_services,cafes_restaurants_and_takeaway_food_services,clothing_retailing,clothing_footwear_and_personal_accessory_retailing,department_stores,electrical_and_electronic_goods_retailing,food_retailing,footwear_and_other_personal_accessory_retailing,furniture_floor_coverings_houseware_and_textile_goods_retailing,hardware_building_and_garden_supplies_retailing,household_goods_retailing,liquor_retailing,newspaper_and_book_retailing,other_recreational_goods_retailing,other_retailing,other_retailing_n.e.c.,other_specialised_food_retailing,pharmaceutical_cosmetic_and_toiletry_goods_retailing,supermarket_and_grocery_stores,takeaway_food_services
01-06-2009,30.8,44.5,24.4,33,33.6,42.6,132.5,8.6,20.9,18.3,81.7,9.3,10.1,8.4,35.9,8,10.5,9.4,112.7,13.7
01-07-2009,33.9,49.3,20.3,28.8,30.3,36.6,138.4,8.5,18.3,18.7,73.5,9.6,13,8,39.7,7.8,11.1,10.9,117.8,15.3
01-08-2009,34.1,50.3,18.8,27.6,25.7,36.8,141.7,8.8,18.2,22.2,77.2,9.6,10.8,7.8,37.4,7.8,11.3,11,120.8,16.2
01-09-2009,34.2,50,18.1,26.8,28.7,33.5,136.6,8.7,18.6,25.5,77.6,9.8,9.6,8.3,36.4,7.7,11,10.8,115.8,15.8
01-10-2009,32.9,49,19.1,29.6,31.5,35.2,143.8,10.5,20.9,25.3,81.5,10.1,9.9,9.1,40.4,8.1,9.4,13.2,124.2,16.1
01-11-2009,32.1,47.6,22.6,33.2,35.5,37.7,147,10.6,18.5,27.6,83.8,10.8,10.2,10.5,43.3,8.7,10.2,13.9,126,15.5
01-12-2009,34.5,50,26.9,44.7,57.4,57.1,158.4,17.7,22.6,25.9,105.6,14.4,14.8,17.9,62.8,12.7,12,17.4,132,15.5
01-01-2010,27.8,42.8,17.1,27.3,29.8,35.8,148.7,10.2,20,23.5,79.3,11.1,8.1,10.8,37.8,6.9,15.4,11.9,122.1,15
01-02-2010,31.4,45.6,15.2,24.2,23.8,27.9,139,8.9,17,17.6,62.5,10.4,11.2,8.1,38.3,7,15.7,11.9,112.9,14.2
01-03-2010,34.7,51.5,18.6,28.2,29.2,31.7,153.4,9.7,18.2,21.9,71.9,11.6,10,9.7,40.9,7.5,17.7,13.6,124.1,16.8
01-04-2010,33.9,50,18.8,28.3,30.8,28.3,149.7,9.5,17.5,19.5,65.2,11.2,8,9.1,40,9,18,14,120.6,16.1
01-05-2010,35.6,52.4,19.2,29.3,29.7,29.7,156.7,10.1,17.2,18.7,65.6,11.3,9.3,8.6,40.9,8.5,19.8,14.5,125.6,16.8
01-06-2010,34.5,50.8,18.7,27.8,33.5,35,147.1,9.1,21.4,19.2,75.6,11,8.8,8,38.3,7.5,18.7,14,117.4,16.2
01-07-2010,31.7,49.2,18.1,27.3,29.8,31.5,154.9,9.2,19.4,18.3,69.3,13.3,9.1,7.7,38.2,7.1,18,14.4,123.6,17.5
01-08-2010,31.3,49.6,15.9,24.7,25.7,30.9,155.1,8.8,20.2,19.2,70.3,13.1,9.3,7.5,39.4,8.4,18.7,14.2,123.3,18.3
01-09-2010,31.4,48,17.3,26.1,27.8,28.7,152.2,8.8,18.6,23.1,70.4,13.7,7.9,8.7,38.2,7.7,17.8,13.9,120.8,16.6
01-10-2010,29.4,46.6,18.4,27.9,30.1,29.2,161.1,9.5,29.3,24.8,83.3,13.4,7.5,8.4,38.8,8.4,18,14.6,129.8,17.2
01-11-2010,28.3,45.5,20,30.1,34.8,29.9,160.4,10.1,30.8,24.8,85.6,13.8,8,9.3,42.8,9,19.4,16.6,127.2,17.2
01-12-2010,30.4,47.7,26.3,43.1,56.3,49.9,176.8,16.8,31.1,25.7,106.7,19.3,12.1,16.3,59.3,12.1,22.1,18.7,135.4,17.3
01-01-2011,24.4,41.8,17.7,27.2,29.5,31.2,160.3,9.6,30.3,23.9,85.3,12.5,4.9,8.3,34.5,7.5,18.5,13.8,129.2,17.3
01-02-2011,25.8,42.3,16.4,25.2,23.3,23.3,152.6,8.8,22.8,19.5,65.6,12.2,8.1,6.4,34.2,7.7,18.9,12,121.6,16.5
01-03-2011,29.7,48.3,19.9,29.4,27.7,26.5,163.6,9.6,24.3,21.5,72.4,13.1,6.2,7.6,36.6,8.6,19.6,14.2,130.9,18.6
01-04-2011,27.9,44.8,20.5,30.1,34.5,25.4,158,9.6,21.7,20.8,67.9,11.9,4.4,9.4,36.6,8.9,19.2,13.8,127,16.8
01-05-2011,27.5,46.6,20.3,30.1,30.2,27.3,158.3,9.8,22.6,19.5,69.4,11.6,5.6,7.1,36.7,9.3,19.4,14.6,127.3,19.1
01-06-2011,25.3,43.7,19.6,28.5,32.7,30.6,152.9,8.9,25.1,18.1,73.8,11.2,4.8,7.4,35.6,9.1,18.1,14.3,123.6,18.3
01-07-2011,25,44.4,17.5,25.9,30.8,28.8,159.3,8.4,23.9,18.4,71.1,11.4,5.7,7.8,35.3,9.8,12.4,12,135.5,19.4
01-08-2011,25.3,45.1,15.2,22.9,27,28.1,163.3,7.7,21.9,20.6,70.5,11.3,6.9,7.7,37.2,10.7,13.4,11.8,138.7,19.8
01-09-2011,25.8,44.9,16.4,25.2,28.2,27.1,160.9,8.7,22.3,24.3,73.7,11.5,4.8,10.1,36.8,10.4,12.7,11.6,136.7,19.1
01-10-2011,26.6,45.2,16.9,25.9,29.1,27,170.8,9,23.6,27.6,78.2,11.8,4.5,9.6,36.6,10.9,14.2,11.5,144.8,18.6
01-11-2011,24.5,44.3,17.9,27.3,33,27.8,167.9,9.4,25,25.7,78.5,13.1,5,12.3,40.2,11.6,12.2,11.2,142.6,19.8
01-12-2011,28.4,48.9,26.2,42.1,55,45,188.4,15.9,27,27.6,99.7,19.4,6.7,17.6,53.9,16.1,14.6,13.4,154.4,20.6
01-01-2012,26.9,44.7,16.3,25.8,28.2,27.5,163.2,9.5,24.4,29.2,81.1,10.9,3.8,8.5,32.8,9.2,12.2,11.4,140.1,17.8
01-02-2012,28.2,47.2,15.2,23.5,26.2,23.4,162,8.3,19,21.6,64,11.6,7.2,7.7,36.4,9.7,12.4,11.9,137.9,18.9
01-03-2012,34.3,54.9,20.1,28.9,28.3,27.8,174.2,8.7,20.6,22.9,71.4,11.9,5.3,8.4,37.4,10.6,12.3,13.2,150,20.6
01-04-2012,30.5,50.3,19.5,27.5,30.8,25.5,167.6,8,16.6,24.1,66.1,11.3,4,7.7,34.6,9.4,12.1,13.5,144.2,19.9
01-05-2012,35.2,56,20.5,29.5,30.7,28.4,169.3,9,16.7,20.6,65.7,11.7,4.6,7.9,37.4,10,12.3,15,145.2,20.8
01-06-2012,37,56.8,19.1,27.6,33,31.6,167.7,8.5,18.3,20.2,70.1,11.5,4.4,7,36.3,10,12.9,14.9,143.3,19.8
01-07-2012,31.8,52.4,18.4,26,27.4,30.3,171.5,7.6,19.3,20,69.6,11.1,5,7,33.1,9.4,15.9,11.7,144.4,20.6
01-08-2012,36.4,57.5,17.9,25.8,26.7,29.1,180.2,8,17.3,22.7,69.1,12.2,6.9,7.5,35.9,9,16.5,12.4,151.5,21.1
01-09-2012,38.2,58.1,17.9,25.9,27.3,24.9,175.6,8,20.7,27,72.7,12,5,8.1,33.6,8.7,16,11.8,147.5,19.9
01-10-2012,33.7,52.4,18.9,28,29.2,24.5,178,9.1,20.4,30.4,75.3,12,4.7,8.6,34.1,8.7,13.6,12.1,152.4,18.7
01-11-2012,37.2,56.5,19.8,29.5,32.6,27.1,181.3,9.7,22.6,29,78.8,13.5,5.2,9.3,37.5,9.9,13.1,13.1,154.7,19.3
01-12-2012,39.3,59,28,45.2,56.3,43.8,189.7,17.2,25.1,31.8,100.7,19.7,6.9,14.2,46.7,12.6,14,13.1,156,19.7
01-01-2013,33.5,49.9,17.6,27.7,27.6,28.4,174.7,10,25.3,27,80.7,10.2,4.8,6.4,30,8.5,12.9,10.3,151.6,16.4
01-02-2013,38.4,53.8,16.2,24.4,23.2,23.5,170.4,8.2,18.5,21.5,63.5,9.8,7.7,6,32.9,8.3,12.8,10.9,147.8,15.4
01-03-2013,49.1,68.9,19,27.4,29,24.9,185.7,8.4,18.6,25.9,69.3,11.3,5.8,7,33.6,9.1,13.6,11.8,160.9,19.7
01-04-2013,40.5,58.6,20.7,29.1,28.2,24.2,177.5,8.4,19.1,25.4,68.7,10.4,4.2,6.4,32.5,10.1,16.2,11.8,150.9,18.1
01-05-2013,38.8,57.2,20.8,29.9,28.8,25.6,183.6,9.1,18.2,23.6,67.4,10.5,4.2,6.7,33.6,10,15.2,12.7,157.8,18.4
01-06-2013,40.3,58.6,20.5,29.4,30.2,32.1,176.9,8.9,19.6,21.6,73.2,10.2,4.3,6.6,33.2,10.5,15.1,11.8,151.5,18.2
01-07-2013,42.7,61,17.9,26.1,27.4,27.4,179.9,8.2,17.2,20.9,65.4,10.5,5.4,5.4,34.1,11.1,15.4,12.3,154,18.2
01-08-2013,40.3,58.6,18,26.8,25,26.4,185.8,8.8,16.2,25.1,67.8,11,6.3,6,36.5,11.6,14.9,12.6,159.9,18.3
01-09-2013,39.7,56.7,18.9,27.8,26.2,25.9,179.8,9,17.5,30.3,73.7,10.1,4.4,6.4,33.7,11.1,16.1,11.8,153.6,17
01-10-2013,44.2,63.6,20.9,30.2,27.4,30.1,190.3,9.3,18.2,27.9,76.2,10.6,4,6.6,34.6,10.1,14.7,13.9,164.9,19.4
01-11-2013,39.6,58,22.2,32.6,32.7,33.3,193.7,10.4,18.8,26.3,78.3,11.6,4.8,9.2,40.9,11.8,14.1,15.1,168,18.4
01-12-2013,38.4,56.4,31.5,49.4,56.3,53.8,212.6,17.9,22.6,29.9,106.3,19.4,6.7,12.9,49.4,13.3,15.4,16.5,177.9,18
01-01-2014,30.7,46.3,19.1,29.7,28.7,32.3,189.5,10.6,16.8,23.9,73,10.9,4.8,6.9,33.4,9,13.9,12.7,164.7,15.7
01-02-2014,34.4,48.2,16.5,24.9,21.9,25.5,178.7,8.3,14.3,20.8,60.6,9.8,7,5.5,34.9,9.9,12.6,12.5,156.3,13.9
01-03-2014,39.3,54.7,20.6,29.6,26.7,27.5,195.4,9,16.4,22.7,66.7,11.3,5.8,5.6,35.2,10.2,13.8,13.6,170.3,15.3
01-04-2014,35.9,50.4,22.5,31.6,30.9,26.1,182.4,9.1,15.2,20.6,61.9,11.2,4.3,5.6,32.5,8.9,12.6,13.8,158.6,14.5
01-05-2014,36.5,51.5,21.1,31.1,27.9,27.5,190.3,9.9,16.4,21.6,65.5,10.9,4.7,5.9,35.1,9.7,13.2,14.8,166.2,15
01-06-2014,34.5,49,20.4,29.5,29.3,32.7,180.6,9.1,15.6,19.5,67.8,10.6,4,5.5,33.4,8.9,12.7,15,157.3,14.5
01-07-2014,35.9,52.8,19.8,29.4,28.9,30.2,185.7,9.6,16,19.3,65.5,11.3,5.3,5.9,38,10.1,11.4,16.6,163,16.9
01-08-2014,35.1,54.1,17.4,27.2,24.1,30,193.2,9.8,15.8,22.6,68.4,12.2,5.8,5.7,37.2,9.3,11.8,16.4,169.3,19
01-09-2014,38.3,57,18.5,28.6,26.6,30.7,187,10.1,16.3,27.1,74.1,12.2,4.6,7,37.4,10,12.7,15.6,162.1,18.7
01-10-2014,35.5,55.1,19.3,30.8,29.3,30.9,198.2,11.4,17.2,30,78.2,13.4,4,8.3,38.9,11.2,11.4,15.4,173.4,19.6
01-11-2014,38.2,59.2,22.7,35.1,32.6,34.2,201.3,12.4,18.8,28.8,81.8,13.8,4.5,9.8,42.9,12.2,11.5,16.4,176,21
01-12-2014,42.3,63.4,32.6,55.4,55.5,50,214.7,22.8,22.8,30.7,103.5,18.3,7.3,15.2,51.6,13.9,13.5,15.3,182.9,21.1
01-01-2015,33,50.3,18.4,30.6,28.1,32.3,194.4,12.1,16.3,25.5,74.1,12.6,4.9,7.4,34.6,10.8,12.9,11.4,168.9,17.3
01-02-2015,36.8,54,16.1,26.1,21.7,26.7,185.5,10,14.3,23,64,11.8,7.9,6,35.6,10,12.3,11.6,161.5,17.3
01-03-2015,42.3,62.2,19.3,30.2,27.4,28.7,200.8,11,15.2,24.8,68.7,13.2,6.2,6.6,36.1,10.8,13.9,12.4,173.7,19.9
01-04-2015,35.3,55.4,21.9,33.8,30.7,26.9,193.7,11.9,14.9,21.3,63.2,11.5,4.9,7.1,35.3,10.8,13.4,12.5,168.8,20.1
01-05-2015,38.4,59,22.1,33.7,28.6,29,203.9,11.6,17.5,22.4,69,11.5,5.5,7.2,36.8,11.4,13.2,12.6,179.3,20.6
01-06-2015,38,58.6,21.8,33,29.5,33.2,191,11.3,17.3,21.5,72,10.8,4.8,6.5,35.3,11.7,13.3,12.2,166.9,20.5
01-07-2015,37.3,58.8,19.8,31.3,29.4,30.1,194.8,11.4,16.9,20.2,67.2,10.6,7.1,6.1,38.4,12.7,11.3,12.6,172.9,21.5
01-08-2015,37.6,58.9,17.6,28.8,25.5,29.2,197.5,11.2,17.4,21.9,68.6,10.9,8.2,6.1,39.7,12.1,10.3,13.3,176.3,21.3
01-09-2015,39.4,60.2,19.6,31.2,27.6,27.6,189.2,11.6,18.5,26,72.2,11.3,6.3,8.1,40.7,12.6,9.5,13.7,168.4,20.9
01-10-2015,41.5,61.9,20.2,31.2,31.3,29.6,201.8,11,18.8,28.5,77,12.5,5.9,8.3,42.5,14.3,10,14,179.3,20.5
01-11-2015,44.2,64.7,20.1,30.9,32.6,32.5,200,10.8,24.9,27.6,85,12.3,6.6,9.8,46.9,15.2,9.4,15.3,178.3,20.5
01-12-2015,49,70.3,33.9,54.2,58.3,49.4,218.9,20.3,34.1,32.3,115.8,18.1,9.5,17.7,62.6,18.5,9.6,16.8,191.2,21.3
01-01-2016,38.6,58.6,19.6,31.7,29,32.2,199.8,12.1,28.9,28.1,89.2,11,5.4,8.2,41,13.6,9.9,13.8,178.9,20
01-02-2016,43.8,63.2,17.8,28.2,23,30.1,195.3,10.4,24.1,23.9,78.1,10.9,7.5,6.5,41.8,14,9.2,13.7,175.1,19.4
01-03-2016,45.6,68.2,21.8,32.3,28.5,31.1,204.9,10.5,23.4,24.3,78.7,12.5,6.2,6.6,42.4,15.1,8.8,14.5,183.6,22.5
01-04-2016,41.2,64.5,23.2,36.2,30.3,30.6,195.2,13,24.5,23.9,79.1,11.3,5.2,6,41.9,16.3,9,14.5,174.9,23.3
01-05-2016,40.4,63.7,23,34.8,30.5,31.2,195.7,11.8,23.4,22.5,77,11.2,5.4,5.7,44.1,17.4,9.3,15.7,175.3,23.3
01-06-2016,36.9,62.1,22.9,33.5,32.1,35.2,189.8,10.5,23.7,20.3,79.2,11.1,4.8,5.3,40.5,14.9,9.6,15.5,169.1,25.2
01-07-2016,41.6,66.8,20.9,31.2,27.3,32.3,198.9,10.4,25.1,23,80.4,12,5.8,6.5,45.4,16.7,9.9,16.3,177,25.2
01-08-2016,44.5,70.5,19.3,29.5,25.1,30,198,10.2,21.7,25.1,76.8,12.1,6.6,6.3,45.8,17.9,9.9,15,175.9,25.9
01-09-2016,43.9,69.1,20.2,30.9,27.3,31.1,197.7,10.7,22.4,29.6,83.2,12.4,4.9,7.6,45.4,17.9,9.4,15,175.9,25.2
01-10-2016,41.9,66.6,21.6,32.4,29.7,30.9,212.7,10.8,26.8,34.5,92.2,13.4,5,8,46.7,18.5,10.7,15.2,188.6,24.7
01-11-2016,41.6,65.9,23.4,35.3,33.2,33.5,210.5,11.9,26.2,36,95.7,14.3,5.5,9.8,52.1,19.9,11.3,17,184.9,24.3
01-12-2016,42.5,68.3,34.7,58.8,58.2,50.9,232.4,24.1,33.7,33.3,118,21.1,8.7,15.9,67.4,23.1,11.2,19.7,200.1,25.8
01-01-2017,35.1,57.3,21.1,34.3,30.3,35.3,204.5,13.2,25.9,29.8,91.1,13,5.2,7.9,45,16.4,12,15.5,179.5,22.3
01-02-2017,39.8,61.6,17,27.1,22.4,31.1,193.4,10.2,20.9,25.5,77.4,12.3,6.6,6.4,44.8,15.7,11.1,16,170,21.7
01-03-2017,44.6,68.9,21.4,32.1,28.3,31.7,208,10.7,22.3,28.4,82.4,13.5,5.7,8.3,47.6,16.8,11.4,16.7,183.1,24.4
01-04-2017,41,63.6,23.7,35.6,32.9,29.9,205.8,11.9,22.8,28,80.7,13.4,4.9,7.4,45.6,15.7,12.6,17.6,179.8,22.7
01-05-2017,41,65.6,22.9,35.7,29.3,32.1,205,12.7,24.9,28,85.1,13.2,6,6.8,49.2,17.6,11.5,18.8,180.3,24.6
01-06-2017,39.4,63.4,22,34.2,30.7,37.8,194.9,12.2,25.3,26.5,89.6,12.3,4.3,7.2,47.4,17.4,10.5,18.5,172.2,24
01-07-2017,42.5,69,19.4,30.8,28.5,34.1,198.6,11.4,27.2,25.3,86.6,11.7,6.5,7.6,50.7,17.2,10.5,19.4,176.4,26.5
01-08-2017,43,70.4,17.6,28.8,25,31.5,197.2,11.2,24.9,24.9,81.2,11.8,6.5,6.4,51.1,18.4,9.6,19.9,175.8,27.4
01-09-2017,44.3,71.2,18.8,30,27.7,30.6,196.3,11.2,25.5,30.1,86.1,12.4,5.8,7.8,51.2,17.8,9.8,19.8,174.1,26.8
01-10-2017,41.7,66.6,19.1,31.9,30.7,33,205.1,12.8,28.1,35,96.1,13.9,5.2,8.6,53.5,19.5,10.7,20.1,180.5,24.9
01-11-2017,40.9,66,21.6,35.4,32.1,41.7,207.2,13.9,29.3,31.9,102.9,13.6,5.9,10.6,59.3,21.7,11.9,21.2,181.7,25
01-12-2017,39.6,63.6,33,61.3,53.5,58.9,231.3,28.3,32.7,34.2,125.8,20.5,8.9,17.3,75.6,24.8,14.1,24.6,196.7,24
01-01-2018,33.8,54.9,21,35.5,29.5,36.9,198,14.5,28.9,29.9,95.7,11.8,4.8,8.8,51.2,18.3,11.4,19.3,174.8,21.1
01-02-2018,37.2,59.8,18.5,30.4,21.7,31.1,189.1,11.9,24.7,26.3,82.1,11.4,5.5,7.7,49.4,18.1,11.7,18.1,166,22.6
01-03-2018,44.3,71,22,34.9,28.3,34.5,214.1,12.9,25.3,28.8,88.6,14.2,5.7,9.2,53.3,19.4,14,18.9,186,26.7
01-04-2018,40.6,67.3,22.5,36.1,28.8,32.2,200.6,13.6,24.6,28.4,85.2,12.6,4.4,8.9,51.3,19.1,12,18.8,176.1,26.7
01-05-2018,40.9,67.6,24.6,39.5,30.9,33.4,203.5,15,25.7,28.5,87.6,12.3,4.2,9.1,53,20.7,12.4,18.9,178.8,26.7
01-06-2018,40.7,67.2,24.5,39.3,31.1,40.4,199,14.9,28.5,25.8,94.6,12,4.1,9.4,54.3,21.4,12.8,19.4,174.2,26.5
01-07-2018,43.8,70.4,22.9,36.1,27.6,34.3,200.4,13.2,27,25.4,86.7,12.5,5.3,9.8,54.5,21.8,11.4,17.5,176.5,26.6
01-08-2018,41.7,69.2,22.1,35,25.6,30,206.1,12.9,25.9,26.6,82.5,13.5,5.4,8,53,22.6,11.4,16.9,181.3,27.5
01-09-2018,41.4,68.6,23.4,36,26.6,32.5,203.4,12.7,26.7,32.7,91.9,13.4,5.2,8.2,52.4,20.8,11.3,18.1,178.7,27.1
01-10-2018,41.7,70.2,24.4,36.8,29.9,32.1,214.8,12.3,28.7,37.6,98.4,13.3,4.1,8.5,57.5,25.6,10.3,19.3,191.2,28.5
01-11-2018,44,71.6,27,41.2,32.6,40.4,218.1,14.2,31,37.4,108.8,14.4,5,10.6,61.3,25.2,11.1,20.5,192.7,27.6
01-12-2018,40.9,70.1,35.5,60.3,53.7,54.2,246.9,24.7,34.9,36.4,125.5,21.7,8,16.3,76.7,29.3,14.2,23.2,210.9,29.1
